date,exchange,code,name,total_shares_wanfen
2026-09-01,SSE,510010,治理ETF,13052.44
2026-09-01,SSE,510020,超大ETF,3584.8
2026-09-01,SSE,510030,价值ETF,14622.98
2026-09-01,SSE,510040,上证180E,2648
2026-09-01,SSE,510050,50ETF,653376.68
2026-09-01,SSE,510060,央企ETF,3595.92
2026-09-01,SSE,510090,ESG建信,2508.11
2026-09-01,SSE,510100,SZ50ETF,93380.68
2026-09-01,SSE,510130,中盘ETF,3148.51
2026-09-01,SSE,510140,上证指,7723.05
2026-09-01,SSE,510150,消费ETF,283917.86
2026-09-01,SSE,510160,产业升级,18405.74
2026-09-01,SSE,510170,商品ETF,33491.48
2026-09-01,SSE,510180,180ETF,441655.77
2026-09-01,SSE,510190,上证50基,2365.08
2026-09-01,SSE,510200,上证券商,14388.55
2026-09-01,SSE,510210,综指ETF,1421019.26
2026-09-01,SSE,510230,金融ETF,67780.8
2026-09-01,SSE,510270,国企ETF,1683.21
2026-09-01,SSE,510290,380ETF,5444.89
2026-09-01,SSE,510300,300ETF,2299998.77
2026-09-01,SSE,510310,HS300ETF,1129474.4
2026-09-01,SSE,510320,300中金,63106.85
2026-09-01,SSE,510330,华夏300,837564.98
2026-09-01,SSE,510350,工银300,67601.47
2026-09-01,SSE,510360,广发300,178138.12
2026-09-01,SSE,510370,兴业300,8725.81
2026-09-01,SSE,510380,国寿300,146180.24
2026-09-01,SSE,510390,平安300,13655
2026-09-01,SSE,510410,资源ETF,43925.84
2026-09-01,SSE,510500,500ETF,518936.86
2026-09-01,SSE,510510,广发500,83903.83
2026-09-01,SSE,510530,工银500,4747.94
2026-09-01,SSE,510550,方正500,2374.33
2026-09-01,SSE,510560,国寿500,5231.87
2026-09-01,SSE,510570,兴业500,3306.06
2026-09-01,SSE,510580,ZZ500ETF,112936.83
2026-09-01,SSE,510590,平安500,11638.61
2026-09-01,SSE,510600,沪50ETF,1331.51
2026-09-01,SSE,510630,消费30,55536.15
2026-09-01,SSE,510650,金融行业,1195.25
2026-09-01,SSE,510660,医药行业,5237.97
2026-09-01,SSE,510670,180指,17799.3
2026-09-01,SSE,510680,万家50,2052.47
2026-09-01,SSE,510710,上50ETF,10371.89
2026-09-01,SSE,510720,红利国泰,165476.6
2026-09-01,SSE,510760,上证ETF,302950.37
2026-09-01,SSE,510770,G60创新,2161.07
2026-09-01,SSE,510800,上证50,17457.6
2026-09-01,SSE,510810,上海国企,596669.37
2026-09-01,SSE,510850,工银上50,4669.89
2026-09-01,SSE,510880,红利ETF,564517.57
2026-09-01,SSE,510900,恒生中国,322102.19
2026-09-01,SSE,510910,上证指CS,15079.6
2026-09-01,SSE,510950,上证广发,10192.08
2026-09-01,SSE,510980,上证综合,59079.8
2026-09-01,SSE,510990,ESG180,4094.86
2026-09-01,SSE,511010,国债ETF,5030.63
2026-09-01,SSE,511020,活跃国债,3919.75
2026-09-01,SSE,511030,公司债,40274.07
2026-09-01,SSE,511060,5年地债,2144.63
2026-09-01,SSE,511070,沪公司债,29313.1
2026-09-01,SSE,511090,30年国债,28303.81
2026-09-01,SSE,511100,基准国债,10884.05
2026-09-01,SSE,511110,公司债易,32499.96
2026-09-01,SSE,511120,科创债基,11771.06
2026-09-01,SSE,511130,国债30年,19297.97
2026-09-01,SSE,511150,科债永赢,11153.09
